taxid	description
741942	Lactococcus phage 1358
742163	Duranta leaf curl virus
742915	Cyclovirus PK5006
742916	Cyclovirus PK5034
742917	Cyclovirus PK5222
742920	Cyclovirus Chimp11
742918	Cyclovirus PK5510
742922	Cyclovirus NG12
742923	Cyclovirus NG14
743026	Okra yellow crinkle Cameroon alphasatellite [CM:Lys1sp2:09]
742924	Cyclovirus TN25
743027	Okra yellow crinkle Cameroon alphasatellite [CM:Lys1sp3:09]
743035	Ageratum leaf curl Cameroon alphasatellite
743040	Tomato leaf curl Cameroon alphasatellite
743041	Tomato leaf curl Cameroon alphasatellite [CM:OMHD3:Ok:09]
743042	Tomato leaf curl Cameroon alphasatellite [CM:TOS2D1:To:09]
743290	Chimpanzee stool avian-like circovirus Chimp17
743300	Human stool-associated circular virus NG13
743685	Merino Walk mammarenavirus
745716	Coffee ringspot virus strain=Lavras
745088	Leuconostoc phage 1-A4
746543	Shimoni bat lyssavirus
743813	Pseudomonas phage PAK_P1
746830	Human polyomavirus 6
746831	Human polyomavirus 7
746832	Human papillomavirus 127
747056	Blueberry shock virus
747763	Streptomyces phage phiSASD1
748170	Guar leaf curl alphasatellite
748667	Grapevine Bulgarian latent virus
749447	Pseudomonas phage JG024
749413	Deep-sea thermophilic phage D6E
753084	Synechococcus phage S-CBS2
754004	Sulfolobus turreted icosahedral virus 2
753085	Synechococcus phage S-CBS3
753670	Pea necrotic yellow dwarf virus strain=Germany
754037	Synechococcus phage S-CAM1
754038	Synechococcus phage S-CAM8 strain=S-CAM8 06008BI06
754039	Synechococcus phage S-IOM18
754040	Synechococcus phage S-RIP2
754043	Sulfitobacter phage pCB2047-C
754042	Synechococcus phage S-SKS1
754041	Synechococcus phage S-RIP1
754044	Loktanella phage pCB2051-A
754048	Psychrobacter phage pOW20-A
754045	Sulfitobacter phage pCB2047-A
754046	Sulfitobacter phage phiCB2047-B
754050	Aeromonas phage pIS4-A
754049	Vibrio phage pYD21-A
754051	Vibrio phage pYD38-A
754055	Rhodobacter phage RC1
754056	Rhodovulum phage RS1
754053	Paenibacillus phage PG1
754052	Pseudoalteromonas phage pYD6-A
754059	Synechococcus phage S-CBP4
754058	Vibrio phage PWH3a-P1
754069	Dunaliella viridis virus SI2
754066	Halorubrum phage CGphi46
754067	Salicola phage CGphi29
754064	Ostreococcus lucimarinus virus OlV5
754070	Tetraselmis viridis virus S20
754072	Vibrio phage VBP32
754071	Tetraselmis viridis virus SI1
754074	Vibrio phage VBM1
754073	Vibrio phage VBP47
754075	Vibrio phage 11895-B1
754189	Parvovirus YX-2010/CHN
755164	Lactobacillus phage LBR48
755305	Sida yellow vein disease associated DNA 1
755272	Micromonas pusilla virus 12T
756276	Synechococcus phage S-CBP3
756275	Synechococcus phage S-CBS4
756277	Synechococcus phage S-CBP2
756280	Cellulophaga phage phiSM
756278	Synechococcus phage S-RIM8
756282	Cellulophaga phage phiST
756285	Tetraselmis viridis virus S1
756759	Okra leaf curl betasatellite
757342	Pseudomonas phage JG004
758677	Raspberry vein chlorosis virus
758866	Rhizophagus sp. RF1 mitovirus
